Config_ID,Light_ID,Pos_X_cm,Pos_Y_cm,Pos_Z_cm,Dir_X,Dir_Y,Dir_Z,Power_W
Config_001,1,-2.1896,-0.1683,7.4554,0.98501,0.07571,-0.15498,1.17
Config_001,2,0.1683,-2.1896,7.4554,-0.07571,0.98501,-0.15498,1.17
Config_001,3,2.1896,0.1683,7.4554,-0.98501,-0.07571,-0.15498,1.17
Config_001,4,-0.1683,2.1896,7.4554,0.07571,-0.98501,-0.15498,1.17
Config_002,1,-2.5063,-0.6588,7.3274,0.9621,0.25291,-0.10195,1.17
Config_002,2,0.6588,-2.5063,7.3274,-0.25291,0.9621,-0.10195,1.17
Config_002,3,2.5063,0.6588,7.3274,-0.9621,-0.25291,-0.10195,1.17
Config_002,4,-0.6588,2.5063,7.3274,0.25291,-0.9621,-0.10195,1.17
Config_003,1,-4.0509,0.6003,7.025,0.9892,-0.14658,0,1.17
Config_003,2,-0.6003,-4.0509,7.025,0.14658,0.9892,0,1.17
Config_003,3,4.0509,-0.6003,7.025,-0.9892,0.14658,0,1.17
Config_003,4,0.6003,4.0509,7.025,-0.14658,-0.9892,0,1.17
Config_004,1,-3.848,0.8062,7.025,0.97875,-0.20507,0,1.17
Config_004,2,-0.8062,-3.848,7.025,0.20507,0.97875,0,1.17
Config_004,3,3.848,-0.8062,7.025,-0.97875,0.20507,0,1.17
Config_004,4,0.8062,3.848,7.025,-0.20507,-0.97875,0,1.17
Config_005,1,-4.6276,0.9957,7.025,0.97762,-0.21036,0,1.17
Config_005,2,-0.9957,-4.6276,7.025,0.21036,0.97762,0,1.17
Config_005,3,4.6276,-0.9957,7.025,-0.97762,0.21036,0,1.17
Config_005,4,0.9957,4.6276,7.025,-0.21036,-0.97762,0,1.17
Config_006,1,-2.0601,0.175,7.4921,0.98157,-0.08337,-0.17195,1.17
Config_006,2,-0.175,-2.0601,7.4921,0.08337,0.98157,-0.17195,1.17
Config_006,3,2.0601,-0.175,7.4921,-0.98157,0.08337,-0.17195,1.17
Config_006,4,0.175,2.0601,7.4921,-0.08337,-0.98157,-0.17195,1.17
Config_007,1,-3.6404,0.1959,7.025,0.99856,-0.05373,0,1.17
Config_007,2,-0.1959,-3.6404,7.025,0.05373,0.99856,0,1.17
Config_007,3,3.6404,-0.1959,7.025,-0.99856,0.05373,0,1.17
Config_007,4,0.1959,3.6404,7.025,-0.05373,-0.99856,0,1.17
Config_008,1,-3.4505,0.3843,7.025,0.99385,-0.11069,0,1.17
Config_008,2,-0.3843,-3.4505,7.025,0.11069,0.99385,0,1.17
Config_008,3,3.4505,-0.3843,7.025,-0.99385,0.11069,0,1.17
Config_008,4,0.3843,3.4505,7.025,-0.11069,-0.99385,0,1.17
Config_009,1,-4.6982,-0.1371,7.025,0.99957,0.02916,0,1.17
Config_009,2,0.1371,-4.6982,7.025,-0.02916,0.99957,0,1.17
Config_009,3,4.6982,0.1371,7.025,-0.99957,-0.02916,0,1.17
Config_009,4,-0.1371,4.6982,7.025,0.02916,-0.99957,0,1.17
Config_010,1,-2.5532,0.5492,7.3202,0.97282,-0.20925,-0.09922,1.17
Config_010,2,-0.5492,-2.5532,7.3202,0.20925,0.97282,-0.09922,1.17
Config_010,3,2.5532,-0.5492,7.3202,-0.97282,0.20925,-0.09922,1.17
Config_010,4,0.5492,2.5532,7.3202,-0.20925,-0.97282,-0.09922,1.17
