Config_ID,Light_ID,Pos_X_cm,Pos_Y_cm,Pos_Z_cm,Dir_X,Dir_Y,Dir_Z,Power_W
Config_001,1,-12.1002,-1.9834,59.348,0.19967,0.03273,-0.97932,1.7
Config_001,2,-2.7634,-5.4366,7.025,0.29705,0.5844,-0.75514,1.7
Config_001,3,-55.1229,2.4691,10.1689,0.98245,-0.04401,-0.18124,1.7
Config_001,4,14.8408,-72.6182,63.7149,-0.15184,0.74297,-0.65188,1.7
Config_002,1,-32.0373,-19.4795,32.8638,0.64256,0.3907,-0.65914,1.7
Config_002,2,0.825,-0.0858,82.9404,-0.00995,0.00103,-0.99995,1.7
Config_002,3,-15.338,19.9989,7.025,0.58622,-0.76436,-0.2685,1.7
Config_002,4,-24.2555,-2.4762,15.2726,0.84308,0.08607,-0.53085,1.7
Config_003,1,35.8679,38.6162,42.6313,-0.52912,-0.56967,-0.6289,1.7
Config_003,2,45.7926,32.8493,47.6077,-0.62072,-0.44527,-0.64532,1.7
Config_003,3,-0.3824,0.9764,104.8607,0.00365,-0.00931,-0.99995,1.7
Config_003,4,40.8656,-41.604,48.8795,-0.53705,0.54675,-0.64237,1.7
Config_004,1,-0.7428,0.3109,80.5215,0.00922,-0.00386,-0.99995,1.7
Config_004,2,0.6691,-0.1944,69.6745,-0.0096,0.00279,-0.99995,1.7
Config_004,3,-75.8243,72.4816,18.4958,0.71188,-0.6805,-0.17365,1.7
Config_004,4,-34.9652,-57.3946,16.9633,0.50444,0.82804,-0.24473,1.7
Config_005,1,5.3206,-6.3185,107.1482,-0.04951,0.0588,-0.99704,1.7
Config_005,2,-0.7411,0.3376,81.4327,0.0091,-0.00415,-0.99995,1.7
Config_005,3,60.9034,25.0399,23.3516,-0.87169,-0.35839,-0.33423,1.7
Config_005,4,0.0467,23.2292,74.9037,-0.0006,-0.2962,-0.95512,1.7
Config_006,1,-0.0499,0.1548,7.025,0.00711,-0.02204,-0.99973,1.7
Config_006,2,-6.779,-0.0894,38.9821,0.17133,0.00226,-0.98521,1.7
Config_006,3,-48.381,10.3269,50.1372,0.68689,-0.14662,-0.71182,1.7
Config_006,4,18.9759,32.982,71.876,-0.23333,-0.40555,-0.88379,1.7
Config_007,1,37.1676,14.3475,7.025,-0.91873,-0.35465,-0.17365,1.7
Config_007,2,-0.0144,0.2397,7.025,0.00205,-0.0341,-0.99942,1.7
Config_007,3,-1.1967,-75.5692,13.3266,0.01559,0.98468,-0.17365,1.7
Config_007,4,0.1508,-0.9065,91.8894,-0.00164,0.00986,-0.99995,1.7
Config_008,1,19.0529,-18.2896,86.726,-0.21016,0.20174,-0.95663,1.7
Config_008,2,43.8431,6.7654,39.911,-0.73472,-0.11337,-0.66883,1.7
Config_008,3,63.4339,-16.7373,18.3577,-0.93114,0.24569,-0.26947,1.7
Config_008,4,-28.9901,0.7658,56.5064,0.45644,-0.01206,-0.88967,1.7
Config_009,1,34.4626,-19.9903,7.025,-0.85187,0.49413,-0.17365,1.7
Config_009,2,-0.0216,0.1362,13.7853,0.00157,-0.00988,-0.99995,1.7
Config_009,3,53.5365,26.3735,10.5232,-0.88343,-0.4352,-0.17365,1.7
Config_009,4,77.9347,28.6308,45.3244,-0.82389,-0.30267,-0.47915,1.7
Config_010,1,-21.0946,-1.5227,78.2611,0.26021,0.01878,-0.96537,1.7
Config_010,2,26.8665,-6.8792,22.8512,-0.74765,0.19143,-0.63591,1.7
Config_010,3,66.3974,-25.6734,12.5524,-0.91853,0.35516,-0.17365,1.7
Config_010,4,-0.115,-0.0541,12.7092,0.00905,0.00426,-0.99995,1.7
