pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
795,521,0.34298673,-0.3035933,0.888927,53.248905
796,521,0.34342334,-0.30480173,0.8883447,53.300556
797,521,0.34250018,-0.30333018,0.8892044,53.214314
798,521,0.34382483,-0.30456427,0.88827085,53.319466
799,521,0.3410688,-0.3078711,0.88819337,53.225758
800,521,0.34388214,-0.30647987,0.8875896,53.363655
801,521,0.34461245,-0.30446458,0.8879998,53.364365
802,521,0.3409917,-0.30634135,0.88875175,53.188396
803,521,0.33958328,-0.30583104,0.8894665,53.093647
804,521,0.3408759,-0.308565,0.88802665,53.22918
805,521,0.33923206,-0.30717942,0.8891358,53.101585
806,521,0.3386865,-0.30654886,0.88956124,53.055626
807,521,0.33938023,-0.30846566,0.8886338,53.13803
808,521,0.33905366,-0.30825776,0.8888306,53.114124
809,521,0.3390519,-0.30806914,0.88889664,53.109966
810,521,0.33864734,-0.30971217,0.8884798,53.121334
811,521,0.33698514,-0.30763516,0.8898324,52.977768
812,521,0.3383206,-0.3090772,0.88882536,53.08819
813,521,0.33596668,-0.30956665,0.8895475,52.958927
814,521,0.337216,-0.30855575,0.88942605,53.0113
815,521,0.33587843,-0.31070694,0.8891833,52.978394
816,521,0.33459195,-0.3096959,0.8900206,52.88014
817,521,0.3354614,-0.31063214,0.8893668,52.952023
818,521,0.33382574,-0.31157002,0.88965416,52.87541
819,521,0.3334273,-0.31182197,0.8897153,52.857292
820,521,0.33374375,-0.3122778,0.8894367,52.886
821,521,0.330082,-0.31147885,0.89108187,52.651714
822,521,0.33104268,-0.31128162,0.8907943,52.704266
823,521,0.33093217,-0.3091832,0.89156586,52.652145
824,521,0.33140016,-0.31301796,0.8900526,52.763382
825,521,0.3312925,-0.3127835,0.8901751,52.75187
826,521,0.3276334,-0.31169033,0.89191115,52.511585
827,521,0.3297154,-0.3132058,0.89061207,52.667824
828,521,0.32649136,-0.31239176,0.89208454,52.45949
829,521,0.326665,-0.3135648,0.89160925,52.4955
830,521,0.32578126,-0.31210747,0.89244354,52.411354
831,521,0.32421392,-0.31306767,0.8926779,52.33998
832,521,0.32179904,-0.31602395,0.89251006,52.263073
833,521,0.3221434,-0.31291562,0.8934805,52.214645
834,521,0.3234056,-0.31482735,0.8923523,52.331142
835,521,0.32375354,-0.31410676,0.89248,52.335728
836,521,0.32144755,-0.31658834,0.89243674,52.25494
837,521,0.32172984,-0.313505,0.8934229,52.203266
838,521,0.32128674,-0.31625122,0.8926142,52.237984
839,521,0.31833744,-0.3156297,0.8938899,52.050793
840,521,0.31684336,-0.3177788,0.89365923,52.011024
841,521,0.31714934,-0.3166695,0.89394444,52.004185
842,521,0.31612787,-0.31367835,0.89535975,51.87783
843,521,0.31699795,-0.31840408,0.8933819,52.0341
844,521,0.31527942,-0.3169346,0.8945118,51.900406
845,521,0.31349543,-0.3175764,0.8949111,51.810234
846,521,0.30988303,-0.31507328,0.8970514,51.542953
847,521,0.31296295,-0.31581932,0.89571893,51.73979
848,521,0.3108989,-0.31666544,0.8961389,51.637875
849,521,0.31228888,-0.31534687,0.89612055,51.6898
850,521,0.3127242,-0.31950778,0.8944934,51.8085
851,521,0.31266564,-0.31968468,0.89445066,51.809063
852,521,0.3092357,-0.31896183,0.8958999,51.59222
853,521,0.30532822,-0.31774494,0.8976708,51.336777
854,521,0.30503923,-0.31805557,0.897659,51.326923
855,521,0.30510408,-0.31388292,0.89910454,51.237373
856,521,0.30284482,-0.31927717,0.89796835,51.22667
857,521,0.30464226,-0.31762582,0.89794594,51.294113
858,521,0.30194595,-0.31964886,0.89813876,51.182777
859,521,0.30328655,-0.3204506,0.89740103,51.278988
860,521,0.30036166,-0.31866732,0.89901835,51.068417
861,521,0.30041182,-0.31928593,0.898782,51.085346
862,521,0.2977673,-0.31922418,0.8996836,50.93031
863,521,0.29757053,-0.32021797,0.89939547,50.94146
864,521,0.29741296,-0.3210945,0.89913505,50.952293
865,521,0.2959953,-0.32079846,0.89970833,50.863304
866,521,0.2945314,-0.32,0.9004728,50.76027
867,521,0.2955036,-0.32173073,0.899537,50.856106
868,521,0.29272342,-0.3220509,0.9003312,50.70244
869,521,0.2917061,-0.32182387,0.9007425,50.63838
870,521,0.2911584,-0.32162416,0.90099096,50.602127
871,521,0.29028845,-0.3208745,0.9015388,50.534668
872,521,0.28855476,-0.3217795,0.90177274,50.45525
873,521,0.2908897,-0.32181993,0.90100783,50.591084
874,521,0.28435305,-0.31902984,0.9040814,50.149925
875,521,0.28510994,-0.3219453,0.90280867,50.26034
876,521,0.28630948,-0.32185453,0.90246135,50.327408
877,521,0.28371355,-0.322477,0.9030588,50.19214
878,521,0.28345877,-0.32214135,0.90325856,50.169735
879,521,0.2804107,-0.3256341,0.90295756,50.07541
880,521,0.280771,-0.3240734,0.903407,50.059788
881,521,0.27830166,-0.32368726,0.90430903,49.90898
882,521,0.27838126,-0.3217161,0.9049876,49.867935
883,521,0.27379215,-0.3207038,0.9067452,49.58131
884,521,0.27580786,-0.32427895,0.9048609,49.779675
885,521,0.2761212,-0.3250959,0.90447205,49.81669
