pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
830,545,0.54811156,-0.33672184,0.7656318,67.10766
831,545,0.550713,-0.335077,0.76448584,67.250206
832,545,0.54570407,-0.33845326,0.76658756,66.981255
833,545,0.5436037,-0.33960995,0.7675677,66.86299
834,545,0.54067194,-0.345028,0.767222,66.79028
835,545,0.5462751,-0.33980134,0.76558393,67.053116
836,545,0.5386051,-0.3449465,0.7687109,66.6454
837,545,0.5343708,-0.34332085,0.77238506,66.31427
838,545,0.53321874,-0.34877676,0.77073514,66.36762
839,545,0.53209513,-0.344816,0.77328956,66.19402
840,545,0.524292,-0.35253465,0.7751368,65.849045
841,545,0.5224693,-0.3543861,0.7755233,65.770775
842,545,0.5208472,-0.35718384,0.77533084,65.730286
843,545,0.5300068,-0.34713185,0.7736874,66.10702
844,545,0.5211377,-0.35855305,0.7745031,65.784454
845,545,0.5231179,-0.35321543,0.77562016,65.78588
846,545,0.52591455,-0.35274222,0.77394235,65.96488
847,545,0.5147756,-0.35728246,0.7793301,65.321144
848,545,0.511266,-0.35786605,0.7813699,65.0989
849,545,0.5111039,-0.3621481,0.7795009,65.19599
850,545,0.5146844,-0.3542732,0.7807628,65.24
851,545,0.51057374,-0.35736004,0.7820538,65.03961
852,545,0.5108908,-0.35887006,0.7811549,65.098816
853,545,0.49966654,-0.3652152,0.78546244,64.50723
854,545,0.49878216,-0.36612484,0.785601,64.47154
855,545,0.50007135,-0.36279088,0.78632784,64.4725
856,545,0.49932793,-0.3671086,0.7847948,64.53319
857,545,0.49332318,-0.37022027,0.7871272,64.214035
858,545,0.4904488,-0.37292278,0.78764755,64.09385
859,545,0.489945,-0.3683153,0.79012513,63.941036
860,545,0.4917101,-0.36938494,0.7885277,64.085464
861,545,0.4794483,-0.36967596,0.79590774,63.28505
862,545,0.48367584,-0.37434912,0.79115134,63.684147
863,545,0.47938883,-0.37904707,0.79152364,63.526417
864,545,0.4765119,-0.3774652,0.7940128,63.296135
865,545,0.47427222,-0.37210673,0.7978738,63.0095
866,545,0.4787412,-0.374487,0.7940821,63.363754
867,545,0.47637138,-0.37673378,0.79444444,63.267647
868,545,0.47163317,-0.38156015,0.7949679,63.08644
869,545,0.46702832,-0.3806644,0.7981097,62.763195
870,545,0.46643087,-0.38479155,0.79647833,62.83497
871,545,0.46173754,-0.38284302,0.80014354,62.478855
872,545,0.45775443,-0.38805628,0.79992074,62.3626
873,545,0.46046534,-0.385555,0.79957426,62.469616
874,545,0.45577124,-0.3882926,0.80093783,62.241432
875,545,0.45911473,-0.3858307,0.80021775,62.389946
876,545,0.45051643,-0.3867374,0.8046546,61.862247
877,545,0.45335558,-0.38393676,0.80440116,61.96869
878,545,0.4441325,-0.3919307,0.80569017,61.596245
879,545,0.4457601,-0.38708404,0.8071331,61.567852
880,545,0.44523266,-0.3895938,0.80621624,61.602398
881,545,0.44061178,-0.39529166,0.80598116,61.465084
882,545,0.43802708,-0.3936401,0.80819535,61.255535
883,545,0.44075406,-0.3969803,0.805073,61.521004
884,545,0.43159434,-0.39774814,0.8096436,60.96298
885,545,0.4285167,-0.39231867,0.8139162,60.619072
886,545,0.4232374,-0.4017473,0.81207716,60.55021
887,545,0.42850336,-0.39761063,0.8113511,60.764595
888,545,0.4232998,-0.39895108,0.81342196,60.4756
889,545,0.42356327,-0.39901766,0.81325215,60.493954
890,545,0.4147961,-0.39802375,0.8182428,59.91919
891,545,0.41397303,-0.40450326,0.81547743,60.05043
892,545,0.41058272,-0.40613642,0.81637925,59.886555
893,545,0.40633404,-0.40625647,0.8184426,59.627148
894,545,0.40597174,-0.40444922,0.8195168,59.553307
895,545,0.40778506,-0.40587372,0.81791073,59.705887
896,545,0.4033442,-0.40273714,0.82165456,59.34272
897,545,0.39659253,-0.40387663,0.82437736,58.96006
898,545,0.39708108,-0.4101944,0.82101595,59.17083
899,545,0.394991,-0.41313192,0.8205511,59.127956
900,545,0.38593358,-0.4077749,0.82751125,58.420643
901,545,0.39021653,-0.41074505,0.8240264,58.767002
902,545,0.39206788,-0.41232923,0.8223548,58.9259
903,545,0.38246283,-0.41114154,0.8274568,58.307037
904,545,0.3850328,-0.40803206,0.827804,58.37329
905,545,0.37513408,-0.41699082,0.8278848,58.03493
906,545,0.3761686,-0.41781375,0.82699996,58.12157
907,545,0.37022272,-0.41562858,0.83077556,57.69939
908,545,0.3705204,-0.41713354,0.8298881,57.76156
909,545,0.36775538,-0.41805923,0.8306519,57.622993
910,545,0.3686634,-0.4222056,0.82814837,57.80071
911,545,0.3602788,-0.4234623,0.8311912,57.33724
912,545,0.36251292,-0.42262772,0.83064437,57.44543
913,545,0.35766187,-0.4249823,0.83154553,57.227234
914,545,0.35882917,-0.42160937,0.83275884,57.1954
915,545,0.3560453,-0.4263507,0.83153886,57.17253
916,545,0.34594634,-0.42837304,0.834756,56.636642
917,545,0.34844974,-0.42769998,0.83405966,56.763783
918,545,0.34405023,-0.42855433,0.8354463,56.53053
919,545,0.3436265,-0.4286445,0.83557445,56.50835
920,545,0.33687773,-0.42911702,0.83807635,56.12682
921,545,0.33875287,-0.43338382,0.83511966,56.36788
922,545,0.3293385,-0.43412834,0.838492,55.841362
923,545,0.33187085,-0.43440497,0.8373494,55.997406
924,545,0.32694376,-0.43081647,0.8411331,55.599743
925,545,0.32483846,-0.44177026,0.8362529,55.81984
926,545,0.3214736,-0.44016895,0.8383949,55.574482
927,545,0.31893978,-0.43319786,0.842981,55.209805
928,545,0.31226552,-0.43050393,0.846851,54.741825
929,545,0.31454885,-0.44242615,0.8398322,55.246876
930,545,0.3076738,-0.4358253,0.84580916,54.64398
931,545,0.30394688,-0.43934253,0.84533685,54.54174
932,545,0.30525464,-0.43919313,0.8449432,54.611687
933,545,0.3000475,-0.44334888,0.84463793,54.447113
934,545,0.29958493,-0.4415696,0.84573346,54.363964
935,545,0.29397428,-0.44173494,0.84761393,54.050777
936,545,0.2942214,-0.4449567,0.8458412,54.16809
937,545,0.29296568,-0.43989876,0.8489171,53.935123
938,545,0.28826386,-0.44621336,0.84722936,53.87207
939,545,0.2821807,-0.44370937,0.85058564,53.44898
940,545,0.27838334,-0.44854888,0.8492977,53.39309
941,545,0.2759055,-0.44634482,0.85126513,53.182766
942,545,0.2739185,-0.44965747,0.85016286,53.179977
943,545,0.27666742,-0.44599268,0.8512025,53.213905
944,545,0.27458993,-0.4476896,0.8509844,53.153076
