pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
830,545,0.009780554,-0.003241702,0.99994695,0.59016657
831,545,0.0072333356,-0.0034807597,0.99996775,0.46012676
832,545,0.010495099,0.0017447823,0.9999434,0.6097356
833,545,0.0098657245,-0.0015587315,0.9999501,0.5723244
834,545,0.008815222,-0.0051858206,0.99994767,0.58617437
835,545,0.012012825,0.000817135,0.99992746,0.6901216
836,545,0.008521549,-0.001571321,0.9999625,0.49614015
837,545,0.012290259,0.0005408231,0.9999243,0.7049889
838,545,0.008575176,-0.0026451154,0.99995977,0.51396203
839,545,0.007983099,-0.00078393554,0.9999678,0.4597013
840,545,0.0032778317,0.0001704766,0.99999464,0.18767184
841,545,0.007498989,-0.0049873106,0.99995947,0.5158621
842,545,0.009011113,0.00019325445,0.99995935,0.51662016
843,545,0.005512144,-0.0027145545,0.9999811,0.35221514
844,545,0.0039278553,-0.00784972,0.99996144,0.5031891
845,545,0.0126928855,0.0009677055,0.99991894,0.72954166
846,545,0.006769655,-0.0007896206,0.9999768,0.3901695
847,545,0.007712997,-0.001266089,0.9999694,0.44806132
848,545,0.0060467417,-0.004356676,0.99997216,0.42750102
849,545,0.0059373784,-0.005495118,0.9999673,0.46351632
850,545,0.0077842576,-0.0038412053,0.9999624,0.49692827
851,545,0.00921917,-0.001987147,0.99995553,0.5403171
852,545,0.009103761,-0.0038653896,0.9999511,0.56648237
853,545,0.009364252,-0.0070392587,0.9999314,0.6711472
854,545,0.0068543376,-0.0059039406,0.99995905,0.51851046
855,545,0.008036953,-0.0027579598,0.99996394,0.4865827
856,545,0.0072335135,0.0026322561,0.9999704,0.44101864
857,545,0.008599029,-0.005505722,0.9999479,0.5848376
858,545,0.0051437216,-0.002374821,0.9999839,0.32505745
859,545,0.0065359347,-0.0015694124,0.9999774,0.3851218
860,545,0.005095332,-0.0048108986,0.99997544,0.4015385
861,545,0.002075202,-0.0054567372,0.99998295,0.33455023
862,545,0.0072305803,-0.0034444872,0.9999679,0.45927542
863,545,0.0028508245,-0.0047094836,0.99998486,0.31527904
864,545,0.005419133,-0.003431814,0.99997944,0.36744133
865,545,0.005655144,-0.002414965,0.9999811,0.35221514
866,545,0.007018035,-0.0029653728,0.99997103,0.43611082
867,545,0.0069731073,-0.0032801144,0.9999703,0.4414621
868,545,0.0015037914,-0.003575418,0.9999925,0.22205636
869,545,0.0025702855,-0.007797513,0.9999663,0.4702222
870,545,0.00902338,-0.0061591878,0.9999403,0.6262009
871,545,0.007881125,-0.0032692538,0.9999636,0.4889896
872,545,0.0046162247,-0.0021889203,0.999987,0.29208308
873,545,0.0055486746,-0.0007211172,0.9999844,0.3202056
874,545,0.0058899247,-0.007908369,0.9999514,0.56475264
875,545,0.0073429416,-0.005275952,0.9999591,0.5181329
876,545,0.0040579983,-0.002706755,0.99998814,0.27906454
877,545,0.005945996,-0.00027248464,0.99998224,0.34149665
878,545,0.0020468496,-0.0029876656,0.99999344,0.20747906
879,545,0.0050900825,-0.0061716675,0.999968,0.45842257
880,545,0.0045820638,-0.0076008406,0.9999606,0.50860405
881,545,0.00549551,-0.005216815,0.99997133,0.43386164
882,545,0.0044183927,-0.0016776642,0.9999888,0.27124202
883,545,0.009262165,0.0028402482,0.99995303,0.555319
884,545,0.005025785,-0.0038804335,0.99997985,0.36369452
885,545,0.0025740664,-0.0055147484,0.9999814,0.34942636
886,545,0.0007904251,-0.0060579167,0.9999814,0.34942636
887,545,0.0047326093,-0.0013390494,0.9999879,0.28185526
888,545,0.0048976694,-0.009603317,0.9999419,0.6177064
889,545,0.008835207,-0.003932051,0.99995327,0.5539077
890,545,0.0069573913,-0.0027951058,0.9999719,0.42932796
891,545,0.003258264,-0.0055714073,0.99997926,0.36903542
892,545,0.0049637775,-0.0044617695,0.99997777,0.38206118
893,545,0.0064511257,-0.0010418517,0.9999787,0.373777
894,545,0.0030035505,-0.0019558757,0.99999356,0.20558423
895,545,0.006293089,-0.0038472768,0.9999729,0.42197272
896,545,0.007206512,0.0008064428,0.99997365,0.41590083
897,545,0.00030261773,-0.0007125785,0.9999997,0.04423466
898,545,0.007860094,-0.00042814456,0.99996907,0.45067397
899,545,0.0070035346,-0.0003838559,0.9999754,0.4020255
900,545,0.0035761937,-0.0019631379,0.99999166,0.23406798
901,545,0.0053470996,-0.0047813444,0.9999743,0.41069296
902,545,0.0037322994,-0.004996388,0.9999805,0.35772747
903,545,0.0032441763,-0.00244506,0.9999918,0.23239005
904,545,0.006037621,-0.003221991,0.9999766,0.39217043
905,545,0.0014600256,-0.005188414,0.9999855,0.30837655
906,545,0.006503289,-0.0023205865,0.9999762,0.39515272
907,545,0.00030186248,-0.006847108,0.9999765,0.39266902
908,545,0.00067598786,-0.005840187,0.9999828,0.33630028
909,545,0.003282503,-0.0068958653,0.99997085,0.4374548
910,545,0.0041523627,-0.002134038,0.9999891,0.2676108
911,545,0.004744958,-0.00471675,0.9999776,0.38359454
912,545,0.0030716893,-0.0045464938,0.999985,0.31403533
913,545,0.005664491,-0.004309908,0.99997467,0.40782425
914,545,0.005497412,-0.0034832177,0.99997884,0.37272853
915,545,0.008013657,-0.0016297598,0.9999665,0.4689722
916,545,0.005793186,-0.011800595,0.99991363,0.7530348
917,545,0.003528498,-0.0035476673,0.9999875,0.28667367
918,545,0.00881461,-0.0022248942,0.9999587,0.52076983
919,545,0.0074616345,-0.0065156794,0.9999509,0.56786233
920,545,-0.0008884938,-0.004222414,0.99999076,0.24628836
921,545,0.005793033,-0.0021154217,0.999981,0.35332447
922,545,0.00042628942,-0.003737351,0.9999929,0.21579999
923,545,0.004658825,-0.0028813216,0.99998504,0.31341162
924,545,0.005035376,-0.003994907,0.9999793,0.36850482
925,545,0.0030990937,-0.008539966,0.9999587,0.52076983
926,545,0.0058908076,-0.0056484872,0.9999666,0.4681369
927,545,-0.0005410227,-0.00574434,0.9999834,0.33043072
928,545,0.0006714087,-0.0060588154,0.9999814,0.34942636
929,545,0.0014116495,-0.0038936457,0.9999914,0.23738824
930,545,0.00010834262,-0.0031440689,0.99999505,0.18022579
931,545,0.0035361378,-0.0032462615,0.9999885,0.27482533
932,545,0.004922639,-0.003635113,0.9999813,0.3505445
933,545,0.0036265398,-0.0016856315,0.999992,0.2289973
934,545,0.005463748,-0.0039975285,0.9999771,0.3876539
935,545,0.00069442514,-0.0051879515,0.99998635,0.2993615
936,545,0.0011308554,-0.0035049901,0.99999315,0.21214211
937,545,0.001881162,-0.009895697,0.9999492,0.57742995
938,545,0.0035566415,-0.0051182997,0.99998057,0.35718006
939,545,0.0015846917,-0.008102062,0.9999659,0.47312608
940,545,-0.0018765654,-0.00467377,0.9999873,0.28871405
941,545,0.0008723798,-0.0056230305,0.99998385,0.32565886
942,545,0.0024361624,-0.00565759,0.999981,0.35332447
943,545,0.0016898641,-0.0018456795,0.9999969,0.14265253
944,545,0.0023822049,-0.004821501,0.9999855,0.30837655
945,545,0.0050179916,-5.4957263e-06,0.9999874,0.2873554
946,545,0.0016610501,-0.0038365982,0.99999124,0.23984835
947,545,0.003914677,-0.0034837273,0.99998623,0.30066592
948,545,-0.0033131377,-0.0054229135,0.9999798,0.36423215
949,545,0.0057612574,-0.004195672,0.9999746,0.40830377
950,545,0.0021201589,-0.0036240597,0.9999912,0.24066275
951,545,0.0027630706,-0.0057967044,0.9999794,0.36797345
952,545,0.0033588686,-0.0049608178,0.99998206,0.3432113
953,545,0.002455593,-0.0064435895,0.9999762,0.39515272
954,545,0.0012753666,-0.008022347,0.999967,0.46562234
955,545,0.0049052183,-0.0026484383,0.99998444,0.31959394
956,545,0.00039770064,-0.009630766,0.99995357,0.55213857
957,545,0.0008244031,-0.006066759,0.9999813,0.3505445
958,545,0.003008126,9.038026e-05,0.99999547,0.17245851
959,545,0.0018110024,-0.0035084328,0.9999922,0.22641942
960,545,-0.0010968049,-0.006026244,0.9999812,0.3511023
961,545,0.0013687352,-0.0068757567,0.99997544,0.4015385
962,545,0.00042384362,-0.0061596716,0.99998087,0.35443035
963,545,0.000985381,-0.0075949472,0.9999707,0.4387946
964,545,0.0029157118,-0.0077430974,0.9999657,0.47436517
965,545,0.0033888265,-0.006598669,0.99997246,0.42520627
966,545,0.0027838727,-0.005632337,0.99998033,0.35936466
967,545,0.0025543524,-0.00045408017,0.99999666,0.14803752
968,545,0.00064460567,-0.0049952273,0.99998724,0.289391
969,545,0.00049995043,-0.006261065,0.9999803,0.35990873
970,545,0.0012313108,-0.006323414,0.99997926,0.36903542
971,545,0.0023936934,-0.003912663,0.9999895,0.26244265
972,545,-0.0016540043,-0.0076786866,0.9999692,0.44980478
973,545,0.005022418,-0.00461689,0.99997675,0.3906707
974,545,0.0010416014,-0.009097607,0.9999581,0.5245137
975,545,0.0010554421,-0.0046650986,0.9999886,0.27339765
976,545,0.0014733077,-0.007486879,0.99997085,0.4374548
977,545,0.0031081734,-0.004141913,0.9999866,0.29673544
978,545,-0.0014319138,-0.005164316,0.9999856,0.30774137
979,545,0.0032554972,-0.0077368096,0.9999648,0.4809198
