pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
830,545,0.14802273,0.08288865,0.9855043,9.767486
831,545,0.15213732,0.08703341,0.9845199,10.094537
832,545,0.15484844,0.08882162,0.9839373,10.283233
833,545,0.14915812,0.08459778,0.9851878,9.873804
834,545,0.14911091,0.0845136,0.9852022,9.869003
835,545,0.15642184,0.10064145,0.98254955,10.7195015
836,545,0.15395072,0.08440414,0.98446697,10.111824
837,545,0.147503,0.09981606,0.984012,10.259233
838,545,0.14970519,0.086234815,0.9849629,9.948685
839,545,0.15406603,0.08859742,0.9840804,10.237217
840,545,0.1436453,0.08012419,0.9863803,9.467077
841,545,0.1388797,0.08739187,0.9864457,9.444252
842,545,0.15687309,0.09593567,0.9829481,10.59602
843,545,0.1453546,0.08470601,0.9857469,9.685213
844,545,0.14756814,0.072893016,0.9863621,9.473408
845,545,0.15169239,0.08187998,0.9850305,9.926244
846,545,0.13905108,0.08610267,0.9865349,9.413066
847,545,0.12582305,0.0780454,0.98897797,8.514677
848,545,0.12684856,0.071080066,0.989372,8.360812
849,545,0.14125471,0.06991764,0.9875012,9.068284
850,545,0.14481461,0.09246612,0.9851288,9.893502
851,545,0.14393494,0.07289526,0.9868987,9.28474
852,545,0.13208911,0.06671521,0.9889901,8.50997
853,545,0.122066185,0.063085824,0.99051505,7.8976693
854,545,0.13620579,0.08799567,0.9867648,9.332183
855,545,0.13246357,0.07739372,0.98816174,8.824923
856,545,0.12936553,0.06907286,0.9891883,8.43289
857,545,0.12424556,0.06844438,0.989888,8.154973
858,545,0.113910936,0.07052379,0.9909847,7.6993685
859,545,0.11852838,0.06296842,0.9909521,7.713299
860,545,0.11750035,0.06932196,0.99065036,7.841048
861,545,0.13042684,0.0814782,0.98810434,8.8463335
862,545,0.11649918,0.05355207,0.99174595,7.3666563
863,545,0.12600173,0.08633268,0.9882663,8.785792
864,545,0.11557903,0.06722107,0.9910211,7.683778
865,545,0.12059038,0.06712514,0.9904303,7.9329343
866,545,0.11280744,0.064785436,0.9915025,7.4746456
867,545,0.122155145,0.06496768,0.9903824,7.952804
868,545,0.11898393,0.059153326,0.99113256,7.6358657
869,545,0.10790964,0.06758372,0.99186087,7.315124
870,545,0.10778211,0.060391556,0.9923386,7.0969124
871,545,0.12119605,0.06266446,0.9906486,7.8417745
872,545,0.117362514,0.06648483,0.9908611,7.752031
873,545,0.10930539,0.05419276,0.9925298,7.007679
874,545,0.10818352,0.05358559,0.9926857,6.9340954
875,545,0.1069649,0.06885916,0.99187547,7.30855
876,545,0.10813407,0.06640038,0.99191636,7.290112
877,545,0.1080278,0.064186595,0.9920736,7.218767
878,545,0.09281441,0.050037757,0.99442536,6.052686
879,545,0.106226,0.05561186,0.99278563,6.886494
880,545,0.1032014,0.06322033,0.9926493,6.9513297
881,545,0.09934703,0.05670675,0.99343574,6.568533
882,545,0.10625946,0.06335446,0.9923181,7.1064143
883,545,0.10814881,0.06812282,0.99179786,7.343421
884,545,0.09893969,0.0439374,0.9941229,6.214859
885,545,0.0964258,0.060851127,0.9934784,6.5471225
886,545,0.093495175,0.04202171,0.99473256,5.883399
