pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
830,545,0.009982611,-0.0627161,0.9979815,3.641047
831,545,0.017176924,-0.051937304,0.9985027,3.1358147
832,545,0.0047290754,-0.05788752,0.9983119,3.3296666
833,545,0.0065382887,-0.05687639,0.99835986,3.2819927
834,545,0.009339189,-0.04111729,0.9991107,2.4165416
835,545,0.021833975,-0.047107607,0.99865115,2.9762459
836,545,0.017051486,-0.049099926,0.99864835,2.9793355
837,545,0.015120407,-0.037417457,0.9991854,2.3128304
838,545,0.027463863,-0.03840185,0.99888486,2.706097
839,545,0.015169538,-0.045676842,0.99884105,2.7587507
840,545,0.007800438,-0.053461153,0.99853945,3.097056
841,545,0.0073713497,-0.0468837,0.9988732,2.7202375
842,545,0.020538826,-0.045939527,0.99873304,2.8844588
843,545,0.01853882,-0.04480881,0.9988235,2.7795331
844,545,0.01205244,-0.05692411,0.9983058,3.3356588
845,545,0.027082937,-0.047213823,0.9985176,3.120168
846,545,0.016073754,-0.04591574,0.99881595,2.7884626
847,545,0.0064424607,-0.050587296,0.99869883,2.9231536
848,545,0.0041435068,-0.048061155,0.99883574,2.7650585
849,545,0.017445793,-0.057604868,0.998187,3.4506547
850,545,0.024217343,-0.040473875,0.99888706,2.7034192
851,545,0.016859433,-0.0503035,0.99859166,3.0411801
852,545,0.0046625845,-0.057648897,0.998326,3.3157022
853,545,0.0006738593,-0.053208977,0.9985832,3.0503073
854,545,0.017863894,-0.036528226,0.9991729,2.33045
855,545,0.014906641,-0.051365264,0.9985686,3.0659904
856,545,0.016062025,-0.051331658,0.9985525,3.0831819
857,545,0.014657839,-0.052972842,0.99848837,3.150762
858,545,0.011207637,-0.05503456,0.99842155,3.2196615
859,545,0.016325733,-0.04910894,0.99865997,2.9664953
860,545,0.009920194,-0.045280702,0.9989251,2.656823
861,545,-0.0014950043,-0.05005174,0.99874544,2.8703082
862,545,0.024348412,-0.058510963,0.99798983,3.6335104
863,545,0.011032671,-0.049332477,0.99872154,2.8975272
864,545,0.007637329,-0.05451641,0.99848366,3.1556668
865,545,-0.0023465536,-0.050140817,0.99873936,2.8772562
866,545,0.0062685604,-0.061447248,0.9980906,3.541216
867,545,0.0053801616,-0.06454932,0.9979,3.713833
868,545,0.0045616454,-0.058147456,0.9982976,3.3437486
869,545,0.0012892453,-0.057981655,0.9983168,3.3247826
870,545,0.00730526,-0.06947723,0.99755687,4.005897
871,545,0.017067274,-0.05602319,0.99828357,3.3574803
872,545,0.013413609,-0.04282509,0.9989925,2.5721486
873,545,0.009727579,-0.061732903,0.99804527,3.5830452
874,545,0.003695687,-0.05933004,0.9982316,3.4079497
875,545,0.017241951,-0.049798153,0.99861044,3.0208354
876,545,0.0070024556,-0.055025816,0.99846035,3.1798308
877,545,0.011347159,-0.047801618,0.99879235,2.8161244
878,545,0.0085604945,-0.052337,0.9985928,3.039957
879,545,0.006475328,-0.058814287,0.998248,3.3921142
880,545,0.008594653,-0.04867499,0.9987777,2.8331723
881,545,0.015607265,-0.05048062,0.9986031,3.0287957
882,545,0.0104114,-0.06047132,0.9981156,3.5179732
883,545,0.01830395,-0.05364938,0.9983921,3.2495608
884,545,0.0050829165,-0.060307406,0.99816686,3.46978
885,545,0.001787035,-0.06402196,0.997947,3.672052
886,545,0.012136318,-0.0649703,0.99781334,3.7897189
887,545,0.016300138,-0.048299525,0.99869984,2.9220152
888,545,0.0052758767,-0.05594677,0.99841976,3.2214851
889,545,-0.005567378,-0.057599176,0.9983243,3.317414
890,545,-5.66942e-06,-0.06835675,0.99766093,3.9196155
891,545,0.00832342,-0.053542104,0.99853086,3.106145
892,545,0.0117589515,-0.063844204,0.9978906,3.722154
893,545,0.011599636,-0.04678055,0.9988379,2.7625089
894,545,0.014099419,-0.057015117,0.99827373,3.367088
895,545,0.012128876,-0.05205449,0.99857056,3.0638826
896,545,0.014454872,-0.04185628,0.9990191,2.537982
897,545,0.013526084,-0.057777192,0.99823785,3.401912
898,545,0.0064671794,-0.054172713,0.99851066,3.1274378
899,545,0.015746616,-0.051092315,0.9985697,3.0647771
900,545,-0.0009799752,-0.0579875,0.99831676,3.3248417
901,545,0.012758574,-0.04791182,0.99877006,2.8420024
902,545,0.0024378835,-0.05991068,0.9982008,3.437523
903,545,0.0061292867,-0.0417546,0.99910915,2.4186463
904,545,-0.0005861455,-0.05476389,0.99849916,3.1394956
905,545,0.0027962904,-0.048438214,0.99882233,2.7809412
906,545,0.008138446,-0.05190022,0.9986191,3.0114243
907,545,0.0044844127,-0.04674887,0.99889666,2.6917367
908,545,0.004401112,-0.05501067,0.9984761,3.1635358
909,545,7.8642785e-05,-0.05868568,0.9982765,3.364412
910,545,-0.006395919,-0.055922497,0.9984147,3.2266467
911,545,0.008666862,-0.04361085,0.999011,2.5484488
912,545,-0.009395502,-0.05734502,0.9983102,3.3313124
913,545,-5.3225755e-05,-0.047350228,0.99887836,2.71397
914,545,0.0039204555,-0.05926676,0.99823445,3.405191
915,545,0.009018092,-0.05480105,0.9984566,3.1837072
916,545,-0.009808223,-0.0613568,0.9980677,3.5624392
917,545,0.007019236,-0.05655206,0.998375,3.266806
918,545,0.007832889,-0.045560792,0.99893093,2.649593
919,545,0.014794044,-0.04767154,0.9987535,2.8610864
920,545,0.0061855135,-0.049207658,0.9987694,2.84276
921,545,0.014263643,-0.051839188,0.9985536,3.0820389
922,545,-0.00079896,-0.056541607,0.9983999,3.241659
923,545,-0.00650478,-0.058628354,0.9982587,3.381709
924,545,0.0052708257,-0.054573733,0.9984958,3.1429856
925,545,-0.0012235501,-0.059254378,0.9982422,3.3977082
926,545,-0.0005085132,-0.0507868,0.9987094,2.9112763
927,545,-0.00050051,-0.05402772,0.9985393,3.0971825
928,545,0.000831474,-0.062062245,0.9980719,3.5585349
929,545,0.006881997,-0.054405384,0.9984952,3.1436086
930,545,0.009054382,-0.048574645,0.9987785,2.832205
931,545,0.007391459,-0.057698186,0.9983067,3.3347783
932,545,0.013945565,-0.05156067,0.9985725,3.0617733
933,545,-0.00027412892,-0.06532165,0.9978643,3.7452817
934,545,0.00032991436,-0.054582834,0.9985092,3.1289399
935,545,0.015539669,-0.05452062,0.99839175,3.2499223
936,545,-0.0082608955,-0.059881248,0.9981713,3.4655452
937,545,-0.0011841848,-0.064652555,0.99790716,3.7075005
938,545,-0.006395859,-0.05326028,0.9985602,3.0749803
939,545,-0.003470024,-0.058779053,0.9982649,3.3756826
940,545,4.279238e-05,-0.056580964,0.998398,3.2435908
941,545,-0.0039457018,-0.05625032,0.9984089,3.2325265
942,545,-0.005668139,-0.06165699,0.9980813,3.5498307
943,545,0.003540391,-0.057689723,0.99832827,3.3134575
944,545,0.0027743233,-0.046995923,0.99889123,2.6983461
945,545,0.0020874687,-0.05063402,0.99871504,2.9048817
946,545,-0.0006558532,-0.048373166,0.99882907,2.772976
947,545,-1.6571702e-06,-0.047663227,0.99886346,2.7319415
948,545,-0.010153317,-0.062213358,0.9980112,3.6141677
949,545,-0.0073240013,-0.05676754,0.9983606,3.281277
950,545,-0.0020377403,-0.054070655,0.99853504,3.1017299
951,545,-0.00802301,-0.06513367,0.9978443,3.7628071
952,545,0.0043331888,-0.045841347,0.99893934,2.639156
953,545,-0.003846515,-0.057051193,0.99836385,3.2779934
954,545,-0.01256365,-0.0617305,0.99801373,3.6118374
955,545,0.0027966073,-0.05214369,0.99863565,2.9932983
956,545,-0.004655804,-0.060995232,0.99812716,3.5071592
957,545,-0.011174579,-0.04318861,0.9990044,2.5568838
958,545,0.00011311936,-0.052777432,0.99860626,3.0253682
959,545,-0.0041134874,-0.050163656,0.99873257,2.8850014
960,545,-0.0024172002,-0.049055703,0.9987931,2.8152206
961,545,0.0023081591,-0.043256816,0.9990613,2.4827795
962,545,-0.00040915655,-0.055583067,0.998454,3.1864119
963,545,-0.003728564,-0.058076955,0.99830514,3.3363044
964,545,-0.004138227,-0.05379553,0.9985434,3.0928812
965,545,-0.00967313,-0.059374508,0.9981889,3.4488385
966,545,-0.00032315947,-0.046736885,0.99890715,2.6789074
967,545,0.004411312,-0.04959135,0.9987598,2.8538249
968,545,0.00011249052,-0.052078784,0.998643,2.985243
969,545,-0.0060192635,-0.050644204,0.9986986,2.9234219
970,545,-0.011025932,-0.059843678,0.9981469,3.488632
971,545,-0.00080070033,-0.06606604,0.99781495,3.7883234
