pixel_u,pixel_v,normal_x,normal_y,normal_z,angular_error_deg
830,545,0.34036863,-0.2880965,0.8950696,52.773415
831,545,0.3432735,-0.28509232,0.8949221,52.887035
832,545,0.34618253,-0.28715387,0.8931407,53.102074
833,545,0.35081953,-0.28528452,0.89192957,53.342957
834,545,0.3470438,-0.2941772,0.8905169,53.295486
835,545,0.35095996,-0.28483298,0.8920187,53.342453
836,545,0.34932616,-0.29102376,0.89066064,53.36811
837,545,0.3482869,-0.2852156,0.8929436,53.189636
838,545,0.35097077,-0.2875653,0.89113736,53.39734
839,545,0.3550143,-0.29075584,0.8884964,53.704258
840,545,0.3547807,-0.29326412,0.88776505,53.74097
841,545,0.3493214,-0.2929874,0.89001846,53.40763
842,545,0.35237876,-0.2905517,0.88961166,53.541748
843,545,0.35273078,-0.2892272,0.8899037,53.536263
844,545,0.35197565,-0.29879057,0.8870385,53.686
845,545,0.35556564,-0.28750116,0.88933474,53.672234
846,545,0.35072207,-0.2939469,0.88915086,53.51116
847,545,0.34985924,-0.2910597,0.89043957,53.400803
848,545,0.34874383,-0.292549,0.8903891,53.36411
849,545,0.3526138,-0.29258487,0.8888519,53.596977
850,545,0.35942057,-0.28721416,0.8878767,53.898785
851,545,0.35766834,-0.29010686,0.8876437,53.850952
852,545,0.35254374,-0.2908818,0.88943833,53.55832
853,545,0.34936953,-0.29482067,0.88939404,53.447933
854,545,0.35550493,-0.29122725,0.8881458,53.74327
855,545,0.3615424,-0.28506002,0.8877094,53.98425
856,545,0.34934595,-0.3003148,0.88756317,53.5601
857,545,0.3503822,-0.3002089,0.88719046,53.619972
858,545,0.34963074,-0.2984745,0.8880717,53.538868
859,545,0.34497908,-0.2945913,0.89118207,53.18045
860,545,0.34902525,-0.29258403,0.8902674,53.381683
861,545,0.35060874,-0.28913704,0.89077115,53.40705
862,545,0.35076034,-0.2960182,0.8884483,53.555878
863,545,0.3524253,-0.2929692,0.88879997,53.593464
864,545,0.34689927,-0.29006377,0.89192146,53.203335
865,545,0.34703752,-0.29183215,0.8912906,53.247364
866,545,0.34345445,-0.29911536,0.89026344,53.182835
867,545,0.3433844,-0.3009176,0.889683,53.216293
868,545,0.34332892,-0.30265307,0.8891155,53.249462
869,545,0.34434932,-0.29647604,0.8908005,53.181564
870,545,0.34373745,-0.30546355,0.88799584,53.333363
871,545,0.34139156,-0.30101418,0.8904169,53.099453
872,545,0.3397375,-0.30373618,0.89012516,53.05829
873,545,0.34353653,-0.29798102,0.8906121,53.164154
874,545,0.3363942,-0.2961184,0.8939535,52.699932
875,545,0.3437004,-0.30183437,0.8892503,53.2544
876,545,0.3412933,-0.29770392,0.89156675,53.024548
877,545,0.33988342,-0.29771882,0.89210016,52.94082
878,545,0.3353649,-0.30112836,0.8926657,52.743183
879,545,0.3354775,-0.29962403,0.89312947,52.71832
880,545,0.33339253,-0.30849898,0.890886,52.783127
881,545,0.33637032,-0.2993884,0.8928727,52.766468
882,545,0.33614868,-0.30440205,0.89125943,52.85897
883,545,0.3329675,-0.30417126,0.89253145,52.665222
884,545,0.33332735,-0.30391023,0.8924861,52.681015
885,545,0.33371085,-0.29501307,0.89532363,52.517612
886,545,0.32565767,-0.30482265,0.89500296,52.24644
887,545,0.32876208,-0.30334258,0.8943706,52.398453
888,545,0.32995668,-0.30570084,0.8931269,52.519436
889,545,0.32640168,-0.30533156,0.8945583,52.30128
890,545,0.32871416,-0.2956064,0.8969748,52.233433
891,545,0.32738358,-0.30424336,0.89457035,52.33607
892,545,0.3290467,-0.3047024,0.89380354,52.44424
893,545,0.32316503,-0.2998799,0.89757246,51.994434
894,545,0.32614902,-0.30591127,0.8944524,52.29877
895,545,0.3160142,-0.30293435,0.89909166,51.63791
896,545,0.3221092,-0.3010524,0.8975596,51.956852
897,545,0.31179813,-0.30685827,0.8992329,51.47475
898,545,0.3199933,-0.30356556,0.89746994,51.88549
899,545,0.3201945,-0.3022973,0.8978262,51.870354
900,545,0.30816773,-0.30336908,0.90166503,51.186974
901,545,0.31094816,-0.30551642,0.8999839,51.39595
902,545,0.31259516,-0.3101818,0.8978148,51.593777
903,545,0.30611005,-0.30572918,0.90156883,51.117413
904,545,0.31252608,-0.30086657,0.9010032,51.389076
905,545,0.3060334,-0.31151828,0.899611,51.23929
906,545,0.2997753,-0.3076931,0.90302813,50.79051
907,545,0.30434495,-0.3102567,0.9006192,51.112988
908,545,0.30275738,-0.31124654,0.9008127,51.042194
909,545,0.30138674,-0.30544525,0.9032548,50.83556
910,545,0.29153514,-0.31238118,0.90411574,50.4152
911,545,0.29998434,-0.30830818,0.90274894,50.816116
912,545,0.29263583,-0.30610582,0.90590477,50.340885
913,545,0.2940276,-0.30825078,0.904726,50.468533
914,545,0.29014024,-0.30769283,0.90616983,50.230846
915,545,0.29613677,-0.3139389,0.9020784,50.716766
916,545,0.28712747,-0.30505294,0.90802014,49.998722
917,545,0.28523687,-0.3109976,0.90659827,50.020107
918,545,0.28698164,-0.3130621,0.9053362,50.16691
919,545,0.2864747,-0.3116498,0.90598375,50.106133
920,545,0.28197157,-0.31332722,0.90681756,49.8837
921,545,0.28491077,-0.31277192,0.90609026,50.040813
922,545,0.27991673,-0.31669143,0.90628535,49.841244
923,545,0.27423078,-0.30856836,0.9108145,49.332134
924,545,0.2810732,-0.31270692,0.9073105,49.81803
925,545,0.27976674,-0.32482857,0.9034473,50.01964
926,545,0.26909998,-0.3135091,0.9106576,49.148357
927,545,0.26541978,-0.3167725,0.9106083,49.012074
928,545,0.27219144,-0.3117198,0.910353,49.285286
929,545,0.26703757,-0.31726965,0.909962,49.115875
930,545,0.26723042,-0.31634846,0.91022605,49.105846
931,545,0.26397786,-0.3157854,0.91137,48.907196
932,545,0.26177952,-0.3156045,0.91206646,48.77765
933,545,0.26206633,-0.32228088,0.9096462,48.948013
934,545,0.25824508,-0.3128342,0.91402644,48.513195
935,545,0.25402898,-0.31522682,0.91438574,48.327892
936,545,0.25892743,-0.3172459,0.91231114,48.65276
937,545,0.24771859,-0.32013723,0.91441107,48.08373
938,545,0.25073993,-0.3171586,0.9146256,48.185665
939,545,0.25004578,-0.31546444,0.9154012,48.107296
940,545,0.24421848,-0.32325703,0.91425496,47.959267
941,545,0.24754567,-0.31712493,0.9155069,48.003952
942,545,0.24479333,-0.3216309,0.9146747,47.9534
943,545,0.24680336,-0.31719425,0.9156833,47.963547
944,545,0.23765534,-0.31848142,0.91765434,47.477146
945,545,0.23162797,-0.3219497,0.91798526,47.220047
946,545,0.2413296,-0.31044894,0.91944623,47.499317
947,545,0.2313517,-0.32213596,0.91798955,47.20897
948,545,0.2254829,-0.3220954,0.91946286,46.879364
949,545,0.23390055,-0.3215258,0.9175574,47.337563
950,545,0.22989227,-0.3199178,0.91913116,47.074654
951,545,0.22713852,-0.32556364,0.91783243,47.054924
952,545,0.22608143,-0.3203779,0.9199158,46.872063
953,545,0.2260508,-0.31316128,0.92240506,46.70138
954,545,0.22287981,-0.3215819,0.92027694,46.721653
955,545,0.22037594,-0.32535538,0.9195534,46.672413
956,545,0.21380243,-0.32508424,0.9211996,46.30011
957,545,0.21129845,-0.32304794,0.92249286,46.111835
958,545,0.21451509,-0.32061416,0.92259955,46.232227
959,545,0.21037537,-0.31700894,0.9247959,45.91625
960,545,0.20688038,-0.3166771,0.9256977,45.71423
961,545,0.20396793,-0.32089603,0.9248907,45.653584
962,545,0.20615721,-0.32523832,0.9228864,45.87992
963,545,0.20141143,-0.32134542,0.9252949,45.522984
964,545,0.19872434,-0.31901756,0.9266803,45.318394
965,545,0.19462189,-0.3233555,0.92604727,45.19715
966,545,0.19904192,-0.32255253,0.9253876,45.421307
967,545,0.19282691,-0.32547846,0.92567897,45.150414
968,545,0.19364448,-0.31819803,0.9280366,45.01829
969,545,0.18894288,-0.3268739,0.92598814,44.971554
970,545,0.18539163,-0.32536203,0.9272375,44.739418
971,545,0.18971169,-0.32832047,0.92531896,45.049644
972,545,0.1776582,-0.32947236,0.9273001,44.41935
973,545,0.17932196,-0.32471496,0.92865705,44.391247
974,545,0.17341459,-0.3339716,0.9264936,44.30271
975,545,0.16948956,-0.32015926,0.932079,43.7421
976,545,0.17419915,-0.31932345,0.9314973,43.978474
977,545,0.16790521,-0.32784945,0.9296895,43.84784
978,545,0.16835104,-0.3278759,0.9295995,43.872715
979,545,0.16154328,-0.33186713,0.92939115,43.60558
980,545,0.16536014,-0.3269562,0.93045986,43.687172
981,545,0.15634662,-0.32520682,0.9326287,43.154934
982,545,0.16054636,-0.3351905,0.9283708,43.637573
983,545,0.15633743,-0.32785508,0.93170255,43.221695
984,545,0.15341763,-0.32581314,0.93290347,43.012135
985,545,0.15148611,-0.33576915,0.92968327,43.16504
986,545,0.14864297,-0.32267055,0.9347668,42.67501
987,545,0.14466172,-0.32602188,0.9342284,42.546005
988,545,0.14425308,-0.32870072,0.9333525,42.592945
989,545,0.14430813,-0.32910925,0.9332,42.606453
990,545,0.13917267,-0.33097813,0.9333191,42.379913
991,545,0.14228843,-0.33104938,0.9328238,42.54853
992,545,0.14090401,-0.33057308,0.9332028,42.461998
993,545,0.1321732,-0.32985032,0.9347347,41.976658
994,545,0.13635205,-0.33136225,0.93359905,42.239235
995,545,0.13125664,-0.32340178,0.93711424,41.76041
996,545,0.124788225,-0.33783045,0.9328979,41.79629
997,545,0.12757403,-0.33213636,0.9345643,41.791977
998,545,0.12366405,-0.32995397,0.9358619,41.52659
999,545,0.115748405,-0.33502644,0.935072,41.242867
1000,545,0.11320846,-0.32672545,0.9383146,40.88717
1001,545,0.118686855,-0.32989344,0.93652755,41.261005
1002,545,0.11020551,-0.330338,0.93740684,40.82452
1003,545,0.11122852,-0.33333418,0.93622464,40.958897
1004,545,0.11011269,-0.33070937,0.93728685,40.829556
1005,545,0.10639148,-0.33058408,0.93776065,40.630146
1006,545,0.10595869,-0.3314287,0.9375115,40.630093
1007,545,0.09947285,-0.33564028,0.9367234,40.40429
1008,545,0.09623271,-0.3277938,0.9398353,40.02135
1009,545,0.09562618,-0.33456334,0.93750894,40.173595
1010,545,0.09653872,-0.33396116,0.93763006,40.20479
1011,545,0.09278296,-0.3278532,0.94016147,39.842167
1012,545,0.092145324,-0.33551678,0.93751675,40.018166
1013,545,0.08568783,-0.3359876,0.9379605,39.695152
1014,545,0.09041626,-0.3375496,0.9369553,39.984447
1015,545,0.082750104,-0.33252314,0.93945765,39.446415
1016,545,0.07410779,-0.33796704,0.93823576,39.151237
1017,545,0.07903467,-0.33424202,0.9391676,39.30132
1018,545,0.07330836,-0.33244345,0.94026977,38.954697
1019,545,0.068358235,-0.33695877,0.93903464,38.82644
1020,545,0.06859764,-0.3311503,0.94108117,38.675163
1021,545,0.06973199,-0.33691126,0.9389506,38.89581
1022,545,0.06319272,-0.33369356,0.9405611,38.46821
1023,545,0.06185063,-0.33403677,0.9405285,38.40897
1024,545,0.051359776,-0.33838135,0.9396064,37.996986
1025,545,0.0505818,-0.33224604,0.9418355,37.78059
1026,545,0.051005702,-0.33570135,0.9405865,37.901413
1027,545,0.051181454,-0.3370376,0.940099,37.94896
1028,545,0.046734717,-0.3414942,0.93872124,37.852867
1029,545,0.052663885,-0.3326893,0.94156486,37.89972
1030,545,0.041719433,-0.338586,0.9400101,37.513218
1031,545,0.047345363,-0.33625624,0.94057965,37.730946
1032,545,0.038327254,-0.34224507,0.9388287,37.44985
1033,545,0.039687596,-0.33532688,0.94126546,37.314888
1034,545,0.028388873,-0.33605966,0.9414128,36.7654
1035,545,0.031868022,-0.33536813,0.94154793,36.92044
1036,545,0.027311135,-0.3386502,0.94051594,36.78816
1037,545,0.028830675,-0.3381639,0.9406455,36.850075
1038,545,0.02925197,-0.33857948,0.94048303,36.88362
1039,545,0.019945353,-0.33355573,0.9425193,36.266624
1040,545,0.01629748,-0.33829394,0.9408994,36.225826
1041,545,0.016549537,-0.33224458,0.94304806,36.057297
1042,545,0.010243586,-0.34246802,0.9394736,36.051704
1043,545,0.010230466,-0.33292586,0.94289744,35.76138
1044,545,0.0067042103,-0.33554807,0.94199926,35.66468
1045,545,0.0002685723,-0.34313816,0.93928486,35.579372
1046,545,0.003504292,-0.33647868,0.9416846,35.53401
1047,545,0.001610016,-0.33748505,0.9413295,35.470913
1048,545,0.0015827909,-0.33685538,0.941555,35.450275
1049,545,0.0021292698,-0.34035927,0.940293,35.585014
1050,545,-0.0029938186,-0.33374682,0.942658,35.128593
1051,545,-0.003940212,-0.3404103,0.94026875,35.287197
1052,545,-0.0058810925,-0.3411608,0.9399865,35.215122
1053,545,-0.015210846,-0.33323395,0.9427215,34.510117
1054,545,-0.008508089,-0.3415997,0.93980706,35.099888
1055,545,-0.018473357,-0.33992878,0.94026977,34.55984
1056,545,-0.025881922,-0.34089544,0.93974483,34.230236
1057,545,-0.026079137,-0.33113664,0.94322234,33.912144
1058,545,-0.02554519,-0.3356977,0.9416234,34.081394
1059,545,-0.025216848,-0.33719903,0.94109565,34.144855
1060,545,-0.03113125,-0.33609736,0.94131255,33.82247
1061,545,-0.024472052,-0.3437102,0.9387568,34.388866
1062,545,-0.027919685,-0.33225977,0.9427746,33.857414
1063,545,-0.037761368,-0.33653978,0.9409118,33.515736
1064,545,-0.036208555,-0.33879846,0.94016194,33.663403
1065,545,-0.042450376,-0.33771834,0.94028944,33.327915
1066,545,-0.043508258,-0.3390503,0.93976164,33.320427
1067,545,-0.04600504,-0.34318408,0.9381408,33.336628
1068,545,-0.04364519,-0.33897346,0.93978304,33.311356
1069,545,-0.04556386,-0.34051216,0.93913543,33.269753
1070,545,-0.05389619,-0.34140912,0.93836826,32.90222
1071,545,-0.05951302,-0.33844054,0.93910396,32.536995
1072,545,-0.06375741,-0.34009933,0.9382257,32.391655
1073,545,-0.057581674,-0.3413195,0.93818194,32.724445
