sample_number,set_number,shutter_speed,aperture,iso,orientation_angle_deg,peak_start,peak_center,peak_end,peak_width
2,2,1/6,8.0,100,0,115,133,146,31
2,2,1/6,8.0,100,5,114,133,151,37
2,2,1/6,8.0,100,10,115,133,149,34
2,2,1/6,8.0,100,15,118,137,153,35
2,2,1/6,8.0,100,20,122,139,154,32
2,2,1/6,8.0,100,25,126,143,158,32
2,2,1/6,8.0,100,30,133,149,163,30
2,2,1/6,8.0,100,35,134,150,164,30
2,2,1/6,8.0,100,40,135,151,165,30
2,2,1/6,8.0,100,45,138,154,167,29
2,3,1/6,8.0,100,0,119,142,161,42
2,3,1/6,8.0,100,5,122,142,158,36
2,3,1/6,8.0,100,10,126,144,160,34
2,3,1/6,8.0,100,15,130,146,163,33
2,3,1/6,8.0,100,20,113,135,152,39
