sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end,peak_width
5,1,1,0,IMG_0006.JPG,1/20,8.0,100,107,121,135,28
5,1,1,5,IMG_0017.JPG,1/20,8.0,100,105,117,131,26
5,1,1,10,IMG_0027.JPG,1/20,8.0,100,108,119,131,23
5,1,1,15,IMG_0037.JPG,1/20,8.0,100,110,122,132,22
5,1,1,20,IMG_0056.JPG,1/20,8.0,100,110,121,131,21
5,1,2,0,IMG_0110.JPG,1/20,8.0,100,84,100,117,33
5,1,2,5,IMG_0097.JPG,1/20,8.0,100,89,102,125,36
5,1,2,10,IMG_0087.JPG,1/20,8.0,100,88,101,124,36
5,1,2,15,IMG_0076.JPG,1/20,8.0,100,91,114,125,34
5,1,2,20,IMG_0342.JPG,1/20,8.0,100,97,109,130,33
5,1,3,0,IMG_0181.JPG,1/20,8.0,100,91,106,118,27
5,1,3,5,IMG_0192.JPG,1/20,8.0,100,94,108,121,27
5,1,3,10,IMG_0202.JPG,1/20,8.0,100,94,106,118,24
5,1,3,15,IMG_0213.JPG,1/20,8.0,100,94,107,119,25
5,1,3,20,IMG_0223.JPG,1/20,8.0,100,97,110,122,25
5,1,4,0,IMG_0120.JPG,1/20,8.0,100,97,112,122,25
5,1,4,5,IMG_0130.JPG,1/20,8.0,100,99,116,135,36
5,1,4,10,IMG_0140.JPG,1/20,8.0,100,104,120,140,36
5,1,4,15,IMG_0160.JPG,1/20,8.0,100,106,121,138,32
5,1,4,20,IMG_0170.JPG,1/20,8.0,100,108,128,139,31
