sample_number,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
1,IMG_0001,25/10,11.0,100,184,208,241
1,IMG_0001_1,1/1,8.0,100,172,195,225
1,IMG_0002,13/10,8.0,100,182,206,238
1,IMG_0002_1,1/1,8.0,100,170,193,224
1,IMG_0006,25/10,8.0,100,227,242,242
1,IMG_0008,16/10,16.0,100,112,141,185
1,IMG_0009,13/10,14.0,100,113,141,184
1,IMG_0010,13/10,14.0,100,111,139,182
1,IMG_0011,13/10,8.0,100,128,154,189
1,IMG_0012,1/1,8.0,100,165,189,220
1,IMG_0014,6/10,8.0,100,131,156,191
1,IMG_0015,8/10,8.0,100,149,172,206
1,IMG_0018,1/4,5.6,100,113,139,176
1,IMG_0019,1/4,5.6,100,115,140,178
2,IMG_0008,1/1,8.0,100,142,157,171
2,IMG_0009,1/1,8.0,100,84,100,117
2,IMG_0010,5/10,8.0,100,42,53,64
2,IMG_0011,5/10,8.0,100,45,56,68
2,IMG_0012,8/10,8.0,100,65,78,93
2,IMG_0013,1/1,8.0,100,79,94,110
2,IMG_0014,13/10,8.0,100,95,111,128
2,IMG_0015,5/10,8.0,100,125,141,161
2,IMG_0016,13/10,8.0,100,126,144,163
2,IMG_0017,1/1,11.0,100,91,107,124
2,IMG_0018,13/10,11.0,100,95,112,129
2,IMG_0019,1/4,5.6,100,124,141,160
2,IMG_0020,5/10,8.0,100,125,141,161
2,IMG_0021,5/10,8.0,100,125,141,161
2,IMG_0022,3/10,6.3,100,119,136,155
3,IMG_0019,13/10,11.0,100,94,127,152
3,IMG_0020,1/1,11.0,100,36,51,66
3,IMG_0021,5/10,6.3,100,58,85,104
3,IMG_0022,1/1,8.0,100,124,159,178
3,IMG_0023,1/1,8.0,100,72,101,124
3,IMG_0024,13/10,8.0,100,94,126,152
3,IMG_0025,1/1,6.3,100,143,176,200
3,IMG_0026,1/1,6.3,100,101,133,161
3,IMG_0027,1/1,4.0,100,226,243,243
3,IMG_0028,8/10,5.6,100,157,188,213
3,IMG_0029,1/4,5.6,100,108,141,167
3,IMG_0030,5/10,8.0,100,101,133,159
3,IMG_0031,1/1,11.0,100,108,141,168
4,IMG_0001,8/10,5.6,100,114,141,167
4,IMG_0002,8/10,8.0,100,157,182,206
4,IMG_0003,8/10,8.0,100,158,183,207
4,IMG_0004,1/1,8.0,100,174,199,223
4,IMG_0005,13/10,8.0,100,186,209,231
4,IMG_0006,1/1,6.3,100,199,220,241
4,IMG_0007,8/10,6.3,100,184,208,230
4,IMG_0008,8/10,5.6,100,206,226,245
4,IMG_0009,13/10,6.3,100,212,231,248
4,IMG_0010,5/10,6.3,100,149,175,198
4,IMG_0011,1/8,8.0,100,36,42,54
4,IMG_0012,5/10,8.0,100,112,139,165
4,IMG_0013,5/10,8.0,100,114,142,167
