sample_number,set_number,light_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
5,3,1,0,IMG_0175,1/6,8.0,100,193,207,227
5,3,1,0,IMG_0176,1/8,8.0,100,179,194,213
5,3,1,0,IMG_0177,1/10,8.0,100,163,177,194
5,3,1,0,IMG_0178,1/13,8.0,100,143,159,176
5,3,1,0,IMG_0179,1/15,8.0,100,123,138,156
5,3,1,0,IMG_0180,1/20,8.0,100,106,120,137
5,3,1,0,IMG_0181,1/25,8.0,100,89,103,119
5,3,1,0,IMG_0182,1/30,8.0,100,75,88,102
5,3,1,0,IMG_0183,1/40,8.0,100,59,71,82
5,3,1,0,IMG_0184,1/50,8.0,100,47,58,68
5,3,1,5,IMG_0185,1/6,8.0,100,195,210,227
5,3,1,5,IMG_0186,1/8,8.0,100,178,194,210
5,3,1,5,IMG_0187,1/10,8.0,100,161,176,190
5,3,1,5,IMG_0188,1/13,8.0,100,143,159,175
5,3,1,5,IMG_0189,1/15,8.0,100,124,141,156
5,3,1,5,IMG_0190,1/20,8.0,100,105,120,134
5,3,1,5,IMG_0191,1/25,8.0,100,89,103,117
5,3,1,5,IMG_0192,1/30,8.0,100,72,85,97
5,3,1,5,IMG_0193,1/40,8.0,100,60,72,83
5,3,1,5,IMG_0194,1/50,8.0,100,47,58,67
5,3,1,10,IMG_0001,1/6,8.0,100,196,209,225
5,3,1,10,IMG_0002,1/8,8.0,100,182,196,211
5,3,1,10,IMG_0003,1/10,8.0,100,164,177,191
5,3,1,10,IMG_0004,1/13,8.0,100,145,159,174
5,3,1,10,IMG_0005,1/15,8.0,100,124,139,154
5,3,1,10,IMG_0006,1/20,8.0,100,105,118,132
5,3,1,10,IMG_0007,1/25,8.0,100,89,102,115
5,3,1,10,IMG_0008,1/30,8.0,100,75,87,99
5,3,1,10,IMG_0009,1/40,8.0,100,60,71,82
5,3,1,10,IMG_0010,1/50,8.0,100,48,58,68
5,3,1,15,IMG_0011,1/6,8.0,100,199,211,223
5,3,1,15,IMG_0012,1/8,8.0,100,183,196,207
5,3,1,15,IMG_0013,1/10,8.0,100,165,177,188
5,3,1,15,IMG_0014,1/13,8.0,100,146,160,172
5,3,1,15,IMG_0015,1/15,8.0,100,127,141,153
5,3,1,15,IMG_0016,1/20,8.0,100,108,120,132
5,3,1,15,IMG_0017,1/25,8.0,100,92,104,115
5,3,1,15,IMG_0018,1/30,8.0,100,75,87,97
5,3,1,15,IMG_0019,1/40,8.0,100,62,72,82
5,3,1,15,IMG_0020,1/50,8.0,100,49,59,68
5,3,1,20,IMG_0021,1/6,8.0,100,200,211,223
5,3,1,20,IMG_0022,1/8,8.0,100,182,193,206
5,3,1,20,IMG_0023,1/10,8.0,100,166,177,188
5,3,1,20,IMG_0024,1/13,8.0,100,148,159,172
5,3,1,20,IMG_0025,1/15,8.0,100,130,141,154
5,3,1,20,IMG_0026,1/20,8.0,100,109,121,132
5,3,1,20,IMG_0027,1/25,8.0,100,92,103,114
5,3,1,20,IMG_0028,1/30,8.0,100,76,86,97
5,3,1,20,IMG_0029,1/40,8.0,100,62,72,82
5,3,1,20,IMG_0030,1/50,8.0,100,50,59,68
5,3,2,0,IMG_0183,1/6,8.0,100,187,204,217
5,3,2,0,IMG_0184,1/8,8.0,100,172,189,201
5,3,2,0,IMG_0185,1/10,8.0,100,153,170,181
5,3,2,0,IMG_0186,1/13,8.0,100,133,150,163
5,3,2,0,IMG_0187,1/15,8.0,100,113,130,142
5,3,2,0,IMG_0188,1/20,8.0,100,98,114,125
5,3,2,0,IMG_0189,1/25,8.0,100,80,95,105
5,3,2,0,IMG_0190,1/30,8.0,100,67,81,90
5,3,2,0,IMG_0191,1/40,8.0,100,53,65,74
5,3,2,0,IMG_0192,1/50,8.0,100,43,54,62
5,3,2,5,IMG_0193,1/6,8.0,100,187,202,216
5,3,2,5,IMG_0194,1/8,8.0,100,172,186,199
5,3,2,5,IMG_0195,1/10,8.0,100,153,168,180
5,3,2,5,IMG_0196,1/13,8.0,100,135,151,164
5,3,2,5,IMG_0197,1/15,8.0,100,115,130,142
5,3,2,5,IMG_0198,1/20,8.0,100,99,113,124
5,3,2,5,IMG_0199,1/25,8.0,100,82,95,106
5,3,2,5,IMG_0200,1/30,8.0,100,68,79,90
5,3,2,5,IMG_0201,1/40,8.0,100,54,65,74
5,3,2,5,IMG_0202,1/50,8.0,100,43,52,61
5,3,2,10,IMG_0203,1/6,8.0,100,190,203,214
5,3,2,10,IMG_0204,1/8,8.0,100,173,186,196
5,3,2,10,IMG_0205,1/10,8.0,100,156,169,179
5,3,2,10,IMG_0206,1/13,8.0,100,134,148,159
5,3,2,10,IMG_0207,1/15,8.0,100,117,131,142
5,3,2,10,IMG_0208,1/20,8.0,100,98,111,121
5,3,2,10,IMG_0209,1/25,8.0,100,83,95,105
5,3,2,10,IMG_0210,1/30,8.0,100,68,79,88
5,3,2,10,IMG_0211,1/40,8.0,100,54,64,73
5,3,2,10,IMG_0212,1/50,8.0,100,43,52,60
5,3,2,15,IMG_0213,1/6,8.0,100,192,204,215
5,3,2,15,IMG_0214,1/8,8.0,100,175,187,198
5,3,2,15,IMG_0215,1/10,8.0,100,156,169,179
5,3,2,15,IMG_0216,1/13,8.0,100,137,150,162
5,3,2,15,IMG_0217,1/15,8.0,100,117,130,142
5,3,2,15,IMG_0218,1/20,8.0,100,99,111,122
5,3,2,15,IMG_0219,1/25,8.0,100,83,95,105
5,3,2,15,IMG_0220,1/30,8.0,100,67,78,87
5,3,2,15,IMG_0221,1/40,8.0,100,55,65,73
5,3,2,15,IMG_0222,1/50,8.0,100,44,53,61
