sample_number,orientation_angle_deg,brightness_level,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
2,0,1,IMG_0001,1/5,8.0,100,109,124,135
2,0,1,IMG_0002,1/6,8.0,100,93,108,118
2,0,1,IMG_0003,1/4,8.0,100,129,146,157
2,0,1,IMG_0004,1/5,8.0,100,98,112,121
2,0,1,IMG_0005,1/4,8.0,100,115,130,140
2,0,1,IMG_0006,5/10,8.0,100,171,185,196
2,0,1,IMG_0007,3/10,8.0,100,136,151,161
2,0,1,IMG_0008,4/10,8.0,100,155,169,179
2,0,1,IMG_0009,8/10,8.0,100,204,218,231
2,0,1,IMG_0010,5/10,8.0,100,171,186,196
2,0,2,IMG_0011,1/5,8.0,100,153,166,176
2,0,2,IMG_0012,1/6,8.0,100,134,148,158
2,0,2,IMG_0013,1/8,8.0,100,112,126,136
2,0,2,IMG_0014,1/4,8.0,100,170,183,193
2,0,2,IMG_0017,1/5,8.0,100,156,170,179
2,0,2,IMG_0018,1/5,8.0,100,157,171,180
2,0,2,IMG_0019,1/8,8.0,100,116,131,141
2,0,2,IMG_0020,1/10,8.0,100,98,111,120
2,0,3,IMG_0008,1/5,8.0,100,150,165,175
2,0,3,IMG_0009,1/5,8.0,100,149,165,174
2,0,3,IMG_0010,1/4,8.0,100,167,182,192
2,0,3,IMG_0011,3/10,8.0,100,185,200,210
2,0,3,IMG_0015,1/4,8.0,100,188,202,212
2,0,3,IMG_0016,1/5,8.0,100,170,184,193
2,0,3,IMG_0017,1/6,8.0,100,150,165,174
2,0,3,IMG_0018,1/8,8.0,100,133,148,158
2,0,4,IMG_0013,1/4,8.0,100,190,204,214
2,0,4,IMG_0014,1/4,8.0,100,189,203,213
2,0,4,IMG_0015,3/10,8.0,100,206,218,227
2,0,4,IMG_0016,1/5,8.0,100,172,186,196
2,0,4,IMG_0017,1/6,8.0,100,154,169,178
2,0,4,IMG_0018,1/5,8.0,100,169,184,193
2,0,4,IMG_0019,1/5,8.0,100,36,44,107
2,0,4,IMG_0020,1/6,8.0,100,165,180,191
2,0,4,IMG_0021,1/8,8.0,100,147,164,175
2,0,4,IMG_0022,1/10,8.0,100,130,147,159
2,0,4,IMG_0023,1/13,8.0,100,107,123,133
2,0,4,IMG_0024,1/15,8.0,100,89,104,114
2,0,5,IMG_0020,1/6,8.0,100,163,177,186
2,0,5,IMG_0021,1/5,8.0,100,175,190,200
2,0,5,IMG_0022,1/8,8.0,100,138,154,165
2,0,5,IMG_0025,1/10,8.0,100,133,150,161
2,0,5,IMG_0026,1/13,8.0,100,115,131,142
2,0,5,IMG_0027,1/15,8.0,100,97,112,122
2,0,5,IMG_0028,1/8,8.0,100,151,168,178
2,0,5,IMG_0029,1/20,8.0,100,82,96,106
2,5,1,IMG_0030,3/10,8.0,100,142,160,172
2,5,1,IMG_0031,1/4,8.0,100,122,140,152
2,5,1,IMG_0032,1/5,8.0,100,103,119,130
2,5,1,IMG_0033,3/10,8.0,100,141,160,172
2,5,1,IMG_0034,3/10,8.0,100,140,158,170
2,5,1,IMG_0035,1/4,8.0,100,121,139,151
2,5,1,IMG_0036,1/5,8.0,100,105,121,132
2,5,1,IMG_0037,1/6,8.0,100,88,104,114
2,5,1,IMG_0038,3/10,8.0,100,143,160,172
2,5,1,IMG_0039,1/4,8.0,100,122,139,151
2,5,2,IMG_0040,1/4,8.0,100,169,186,198
2,5,2,IMG_0041,1/5,8.0,100,149,166,177
2,5,2,IMG_0042,1/6,8.0,100,132,150,161
2,5,2,IMG_0043,1/8,8.0,100,112,129,140
2,5,2,IMG_0044,1/10,8.0,100,97,113,123
2,5,2,IMG_0045,1/13,8.0,100,76,90,100
2,5,2,IMG_0046,1/15,8.0,100,61,74,83
2,5,3,IMG_0047,1/15,8.0,100,75,90,99
2,5,3,IMG_0048,1/13,8.0,100,89,105,115
2,5,3,IMG_0049,1/20,8.0,100,63,76,85
2,5,3,IMG_0050,1/25,8.0,100,51,62,71
2,5,3,IMG_0051,1/10,8.0,100,105,122,132
2,5,3,IMG_0052,1/8,8.0,100,125,142,154
2,5,4,IMG_0053,1/8,8.0,100,137,155,167
2,5,4,IMG_0054,1/10,8.0,100,115,133,144
2,5,4,IMG_0055,1/13,8.0,100,101,117,127
2,5,4,IMG_0056,1/15,8.0,100,82,97,107
2,5,4,IMG_0057,1/10,8.0,100,117,135,146
2,5,4,IMG_0058,1/10,8.0,100,116,133,144
2,5,5,IMG_0059,1/10,8.0,100,117,135,146
2,5,5,IMG_0060,1/13,8.0,100,104,120,130
2,5,5,IMG_0062,1/15,8.0,100,84,99,109
2,5,5,IMG_0063,1/20,8.0,100,68,82,91
2,5,5,IMG_0064,1/8,8.0,100,135,153,165
2,10,1,IMG_0065,1/8,8.0,100,74,88,98
2,10,1,IMG_0066,1/10,8.0,100,58,71,80
2,10,1,IMG_0067,1/13,8.0,100,47,59,67
2,10,1,IMG_0068,1/15,8.0,100,39,47,55
2,10,1,IMG_0069,1/8,8.0,100,72,86,96
2,10,1,IMG_0070,1/6,8.0,100,88,104,114
2,10,2,IMG_0071,1/6,8.0,100,131,149,161
2,10,2,IMG_0072,1/8,8.0,100,110,128,139
2,10,2,IMG_0073,1/10,8.0,100,93,109,120
2,10,2,IMG_0074,1/13,8.0,100,77,92,101
2,10,2,IMG_0075,1/15,8.0,100,62,76,85
2,10,2,IMG_0076,1/20,8.0,100,53,65,73
2,10,3,IMG_0077,1/20,8.0,100,62,76,85
2,10,3,IMG_0078,1/15,8.0,100,77,93,102
2,10,3,IMG_0079,1/13,8.0,100,96,112,122
2,10,3,IMG_0080,1/10,8.0,100,111,128,139
2,10,3,IMG_0081,1/8,8.0,100,131,149,161
2,10,3,IMG_0082,1/6,8.0,100,148,166,177
2,10,4,IMG_0083,1/6,8.0,100,164,180,192
2,10,4,IMG_0084,1/8,8.0,100,141,159,171
2,10,4,IMG_0085,1/10,8.0,100,122,141,152
2,10,4,IMG_0086,1/13,8.0,100,104,121,131
2,10,4,IMG_0087,1/15,8.0,100,89,105,116
2,10,4,IMG_0088,1/20,8.0,100,73,87,97
2,10,5,IMG_0090,1/20,8.0,100,79,94,104
2,10,5,IMG_0091,1/15,8.0,100,93,109,119
2,10,5,IMG_0092,1/13,8.0,100,111,128,139
2,10,5,IMG_0093,1/10,8.0,100,127,145,156
2,10,5,IMG_0094,1/25,8.0,100,61,75,84
2,15,1,IMG_0095,3/10,8.0,100,148,167,180
2,15,1,IMG_0096,1/4,8.0,100,128,147,161
2,15,1,IMG_0097,1/5,8.0,100,109,127,139
2,15,1,IMG_0098,1/6,8.0,100,93,109,121
2,15,1,IMG_0099,1/8,8.0,100,75,91,101
2,15,1,IMG_0100,1/6,8.0,100,92,109,120
2,15,2,IMG_0101,1/6,8.0,100,134,153,167
2,15,2,IMG_0102,1/8,8.0,100,114,133,146
2,15,2,IMG_0103,1/10,8.0,100,99,116,128
2,15,2,IMG_0104,1/13,8.0,100,80,96,107
2,15,2,IMG_0105,1/6,8.0,100,133,152,166
2,15,3,IMG_0106,1/6,8.0,100,149,167,180
2,15,3,IMG_0107,1/8,8.0,100,133,152,166
2,15,3,IMG_0108,1/10,8.0,100,114,133,146
2,15,3,IMG_0109,1/13,8.0,100,96,113,124
2,15,3,IMG_0110,1/15,8.0,100,78,93,104
2,15,3,IMG_0111,1/20,8.0,100,66,80,90
2,15,4,IMG_0112,1/20,8.0,100,74,90,100
2,15,4,IMG_0113,1/15,8.0,100,91,108,120
2,15,4,IMG_0114,1/13,8.0,100,108,125,137
2,15,4,IMG_0115,1/10,8.0,100,125,144,157
2,15,4,IMG_0116,1/8,8.0,100,145,164,178
2,15,4,IMG_0117,1/6,8.0,100,162,179,193
2,15,5,IMG_0118,1/6,8.0,100,156,174,187
2,15,5,IMG_0119,1/8,8.0,100,138,157,171
2,15,5,IMG_0120,1/10,8.0,100,117,135,148
2,15,5,IMG_0121,1/13,8.0,100,99,116,127
2,15,5,IMG_0122,1/15,8.0,100,84,100,111
2,15,5,IMG_0123,1/20,8.0,100,67,81,91
2,20,1,IMG_0124,4/10,8.0,100,156,174,188
2,20,1,IMG_0125,3/10,8.0,100,134,154,168
2,20,1,IMG_0126,1/4,8.0,100,115,134,147
2,20,1,IMG_0127,1/5,8.0,100,96,114,126
2,20,1,IMG_0128,1/6,8.0,100,82,98,110
2,20,1,IMG_0129,1/8,8.0,100,67,82,92
2,20,1,IMG_0130,1/10,8.0,100,55,68,77
2,20,1,IMG_0131,1/13,8.0,100,43,54,63
2,20,2,IMG_0132,1/5,8.0,100,145,164,179
2,20,2,IMG_0133,1/6,8.0,100,121,141,155
2,20,2,IMG_0134,1/8,8.0,100,106,124,137
2,20,2,IMG_0135,1/10,8.0,100,90,107,119
2,20,2,IMG_0136,1/13,8.0,100,72,87,98
2,20,2,IMG_0137,1/15,8.0,100,59,73,83
2,20,2,IMG_0138,1/20,8.0,100,48,60,69
2,20,3,IMG_0139,1/4,8.0,100,36,44,107
2,20,3,IMG_0140,1/5,8.0,100,169,188,204
2,20,3,IMG_0141,1/6,8.0,100,154,172,186
2,20,3,IMG_0142,1/8,8.0,100,132,152,166
2,20,3,IMG_0143,1/10,8.0,100,113,132,145
2,20,3,IMG_0144,1/13,8.0,100,93,111,123
2,20,3,IMG_0145,1/15,8.0,100,78,94,105
2,20,3,IMG_0146,1/20,8.0,100,65,79,89
2,20,4,IMG_0147,1/4,8.0,100,36,44,113
2,20,4,IMG_0148,1/5,8.0,100,36,44,106
2,20,4,IMG_0149,1/6,8.0,100,167,185,200
2,20,4,IMG_0150,1/8,8.0,100,150,169,182
2,20,4,IMG_0151,1/10,8.0,100,129,148,163
2,20,4,IMG_0152,1/13,8.0,100,111,130,143
2,20,4,IMG_0153,1/15,8.0,100,93,110,122
2,20,4,IMG_0154,1/20,8.0,100,80,96,108
2,20,4,IMG_0155,1/8,8.0,100,162,180,195
2,20,4,IMG_0156,1/10,8.0,100,142,162,177
2,20,4,IMG_0157,1/13,8.0,100,122,141,156
2,20,4,IMG_0158,1/15,8.0,100,106,124,137
2,20,4,IMG_0165,1/6,8.0,100,169,188,204
2,20,4,IMG_0166,1/8,8.0,100,148,168,181
2,20,4,IMG_0167,1/10,8.0,100,127,147,161
2,20,4,IMG_0168,1/13,8.0,100,109,127,140
2,20,4,IMG_0169,1/15,8.0,100,93,111,123
2,20,4,IMG_0170,1/20,8.0,100,76,92,103
2,20,4,IMG_0171,1/25,8.0,100,63,78,87
2,20,4,IMG_0172,1/20,8.0,100,76,92,103
2,20,5,IMG_0159,1/6,8.0,100,176,196,213
2,20,5,IMG_0160,1/8,8.0,100,162,180,195
2,20,5,IMG_0161,1/10,8.0,100,142,162,176
2,20,5,IMG_0162,1/13,8.0,100,123,143,157
2,20,5,IMG_0163,1/15,8.0,100,103,121,133
2,20,5,IMG_0164,1/20,8.0,100,86,103,115
