sample_number,set_number,orientation_angle_deg,image_name,shutter_speed,aperture,iso,peak_start,peak,peak_end
2,3,0,IMG_0163,3/10,8.0,100,173,196,214
2,3,0,IMG_0164,1/4,8.0,100,158,179,197
2,3,0,IMG_0165,1/5,8.0,100,139,162,180
2,3,0,IMG_0166,1/6,8.0,100,119,142,161
2,3,0,IMG_0167,1/8,8.0,100,101,122,140
2,3,0,IMG_0168,1/10,8.0,100,85,104,121
2,3,0,IMG_0169,1/13,8.0,100,70,87,103
2,3,0,IMG_0170,1/15,8.0,100,56,71,85
2,3,5,IMG_0171,3/10,8.0,100,178,197,213
2,3,5,IMG_0172,1/4,8.0,100,162,179,195
2,3,5,IMG_0173,1/5,8.0,100,142,161,178
2,3,5,IMG_0174,1/6,8.0,100,122,142,158
2,3,5,IMG_0175,1/8,8.0,100,105,122,139
2,3,5,IMG_0176,1/10,8.0,100,87,104,119
2,3,5,IMG_0177,1/13,8.0,100,72,87,101
2,3,5,IMG_0178,1/15,8.0,100,58,71,84
2,3,10,IMG_0179,3/10,8.0,100,183,201,217
2,3,10,IMG_0180,1/4,8.0,100,167,183,199
2,3,10,IMG_0181,1/5,8.0,100,144,162,178
2,3,10,IMG_0182,1/6,8.0,100,126,144,160
2,3,10,IMG_0183,1/8,8.0,100,109,125,142
2,3,10,IMG_0184,1/10,8.0,100,91,107,121
2,3,10,IMG_0185,1/13,8.0,100,76,90,104
2,3,10,IMG_0186,1/15,8.0,100,61,74,86
2,3,15,IMG_0187,3/10,8.0,100,185,202,218
2,3,15,IMG_0188,1/4,8.0,100,168,184,199
2,3,15,IMG_0189,1/5,8.0,100,147,164,179
2,3,15,IMG_0190,1/6,8.0,100,130,146,163
2,3,15,IMG_0191,1/8,8.0,100,112,128,144
2,3,15,IMG_0192,1/10,8.0,100,93,108,122
2,3,15,IMG_0193,1/13,8.0,100,77,91,104
2,3,15,IMG_0194,1/15,8.0,100,61,73,85
2,3,20,IMG_0195,3/10,8.0,100,168,188,206
2,3,20,IMG_0196,1/4,8.0,100,151,172,188
2,3,20,IMG_0197,1/5,8.0,100,132,155,172
2,3,20,IMG_0198,1/6,8.0,100,113,135,152
2,3,20,IMG_0199,1/8,8.0,100,95,115,130
2,3,20,IMG_0200,1/10,8.0,100,79,98,113
2,3,20,IMG_0201,1/13,8.0,100,62,79,92
2,3,20,IMG_0202,1/15,8.0,100,52,66,78
2,3,20,IMG_0203,3/10,11.0,100,39,145,157
